,,Propre liste,,,,,,,,,
Liste,,Complets,,Modifiés,,,,,,,
,,Nominatifs,Complémentaires,Nominatifs,Complémentaires,Total Liste,Autres Listes,Sans Dénom,Total,,Check
1,Les Jeunes du Centre,9196,0,1360,308,10864,1935,5620,18419,,484
2,PPVD,17119,0,2442,563,20124,1717,5295,27136,,901
3,POP,31673,0,7247,932,39852,4939,10361,55152,,1667
4,Les Vert·e·s,241471,0,75319,8152,324942,28120,50910,403972,,12709
5,Les Libres,12870,3432,7424,1525,25251,4972,11178,41401,,858
6,JSV,17328,0,2628,731,20687,5197,10861,36745,,912
7,PSV,545984,0,151904,24602,722490,34726,73728,830944,,28736
8,Jeunes UDC,24168,0,2619,595,27382,3695,6060,37137,,1272
9,PLR,373445,0,196922,23565,593932,34763,68422,697117,,19655
10,VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN,49685,0,8286,1559,59530,6511,12663,78704,,2615
11,La Terre au Centre,26277,0,4522,797,31596,7433,16337,55366,,1383
12,VERT'LIBÉRAUX,75335,0,22002,5227,102564,11535,21300,135399,,3965
13,UDC Liberté et Mobilité,69065,0,9426,2090,80581,9517,12446,102544,,3635
14,VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX,26106,0,3289,672,30067,4473,10084,44624,,1374
15,Le Centre,46170,0,10947,3001,60118,5848,13210,79176,,2430
16,UDC,348802,0,103550,16013,468365,15779,34019,518163,,18358
17,UDF,10896,2043,4394,607,17940,1146,2009,21095,,681
18,JVVD,34998,0,6288,1000,42286,6061,11563,59910,,1842
19,EàG,59489,0,11448,1418,72355,7651,13974,93980,,3131
20,PLR.Énergie libérale,26201,0,5246,1356,32803,8282,9029,50114,,1379
21,JLRV,7999,0,1965,671,10635,4244,5665,20544,,421
22,PEV,14364,0,3926,693,18983,1807,4469,25259,,756
Total suffrages,,2068641,5475,643154,96077,2813347,210351,409203,3432901,,
