Bilan-Liste-Les_Libres, gagnés, perdus, bilan
PSV, 1064, -470, 594
Les Vert·e·s, 787, -298, 489
PLR, 831, -406, 425
UDC, 529, -136, 393
Le Centre, 398, -122, 276
VERT'LIBÉRAUX, 346, -138, 208
PEV, 126, -35, 91
PPVD, 115, -62, 53
UDF, 60, -12, 48
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 132, -91, 41
EàG, 76, -49, 27
UDC Liberté et Mobilité, 55, -29, 26
Jeunes UDC, 35, -25, 10
POP, 53, -44, 9
La Terre au Centre, 166, -159, 7
JVVD, 43, -45, -2
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 60, -72, -12
JLRV, 18, -36, -18
JSV, 24, -44, -20
PLR.Énergie libérale, 17, -57, -40
Les Jeunes du Centre, 37, -83, -46
Total, 4972, -2413, 2559
