Bilan-Liste-PLR_Énergie_libérale, gagnés, perdus, bilan
PLR, 5254, -801, 4453
UDC, 1234, -176, 1058
PSV, 452, -92, 360
VERT'LIBÉRAUX, 404, -84, 320
Le Centre, 248, -51, 197
Les Vert·e·s, 150, -63, 87
La Terre au Centre, 84, -35, 49
Les Libres, 57, -17, 40
PEV, 45, -6, 39
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 68, -31, 37
UDC Liberté et Mobilité, 88, -65, 23
PPVD, 21, -6, 15
JSV, 16, -1, 15
UDF, 13, -4, 9
EàG, 11, -2, 9
POP, 3, -4, -1
JVVD, 5, -10, -5
Les Jeunes du Centre, 6, -13, -7
Jeunes UDC, 6, -17, -11
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 28, -53, -25
JLRV, 89, -151, -62
Total, 8282, -1682, 6600
