Bilan-Liste-POP, gagnés, perdus, bilan
PSV, 2133, -666, 1467
Les Vert·e·s, 1292, -316, 976
EàG, 590, -443, 147
JVVD, 177, -88, 89
UDC, 113, -29, 84
PLR, 117, -65, 52
VERT'LIBÉRAUX, 58, -29, 29
PPVD, 95, -73, 22
Le Centre, 54, -33, 21
PEV, 27, -8, 19
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 26, -13, 13
Jeunes UDC, 16, -14, 2
UDF, 5, -4, 1
PLR.Énergie libérale, 4, -3, 1
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 15, -16, -1
JLRV, 12, -14, -2
UDC Liberté et Mobilité, 15, -18, -3
Les Jeunes du Centre, 14, -18, -4
Les Libres, 44, -53, -9
JSV, 117, -131, -14
La Terre au Centre, 15, -47, -32
Total, 4939, -2081, 2858
