Bilan-Liste-PPVD, gagnés, perdus, bilan
PSV, 455, -243, 212
Les Vert·e·s, 404, -202, 202
VERT'LIBÉRAUX, 105, -61, 44
UDF, 14, -9, 5
UDC, 81, -77, 4
JVVD, 73, -69, 4
Le Centre, 46, -44, 2
JLRV, 12, -16, -4
Les Jeunes du Centre, 29, -34, -5
JSV, 75, -81, -6
PEV, 22, -31, -9
EàG, 63, -73, -10
Jeunes UDC, 8, -22, -14
PLR.Énergie libérale, 6, -21, -15
POP, 73, -95, -22
PLR, 100, -123, -23
UDC Liberté et Mobilité, 8, -43, -35
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 33, -69, -36
La Terre au Centre, 28, -67, -39
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 20, -60, -40
Les Libres, 62, -115, -53
Total, 1717, -1555, 162
