Bilan-Liste-PSV, gagnés, perdus, bilan
UDC, 3180, -1150, 2030
VERT'LIBÉRAUX, 2526, -2140, 386
Le Centre, 1314, -960, 354
PEV, 439, -309, 130
UDF, 186, -108, 78
Jeunes UDC, 38, -114, -76
UDC Liberté et Mobilité, 260, -353, -93
Les Jeunes du Centre, 94, -293, -199
JLRV, 28, -237, -209
PPVD, 243, -455, -212
PLR.Énergie libérale, 92, -452, -360
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 203, -578, -375
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 578, -1005, -427
La Terre au Centre, 393, -985, -592
Les Libres, 470, -1064, -594
JVVD, 497, -1158, -661
PLR, 6153, -7108, -955
POP, 666, -2133, -1467
EàG, 1265, -2806, -1541
JSV, 504, -2563, -2059
Les Vert·e·s, 15597, -17885, -2288
Total, 34726, -43856, -9130
