Liste-Bilan-ENGAGES_POUR_DEMAIN, gagnés, perdus, bilan
VERT'LIBÉRAUX, 1833, -1008, 825
PLR, 1449, -778, 671
Les Vert·e·s, 903, -458, 445
PSV, 1005, -578, 427
UDC, 360, -63, 297
Le Centre, 293, -168, 125
PPVD, 60, -20, 40
PEV, 35, -21, 14
UDC Liberté et Mobilité, 28, -17, 11
UDF, 11, -4, 7
Jeunes UDC, 2, -7, -5
EàG, 19, -29, -10
JLRV, 22, -33, -11
POP, 13, -26, -13
JVVD, 27, -41, -14
JSV, 20, -38, -18
PLR.Énergie libérale, 31, -68, -37
Les Libres, 91, -132, -41
Les Jeunes du Centre, 28, -84, -56
La Terre au Centre, 80, -181, -101
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 201, -385, -184
Total, 6511, -4139, 2372
