Liste-Bilan-JVVD, gagnés, perdus, bilan
Les Vert·e·s, 3199, -975, 2224
PSV, 1158, -497, 661
VERT'LIBÉRAUX, 210, -61, 149
PLR, 177, -79, 98
UDC, 77, -3, 74
EàG, 577, -504, 73
Le Centre, 59, -12, 47
PEV, 40, -7, 33
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 41, -27, 14
Les Jeunes du Centre, 16, -3, 13
La Terre au Centre, 30, -20, 10
PLR.Énergie libérale, 10, -5, 5
UDF, 5, 0, 5
JLRV, 12, -8, 4
UDC Liberté et Mobilité, 4, 0, 4
Les Libres, 45, -43, 2
Jeunes UDC, 2, -1, 1
PPVD, 69, -73, -4
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 53, -62, -9
POP, 88, -177, -89
JSV, 189, -396, -207
Total, 6061, -2953, 3108
