Liste-Bilan-Jeunes_UDC, gagnés, perdus, bilan
UDC, 2260, -383, 1877
PLR, 515, -92, 423
UDF, 240, -54, 186
Le Centre, 94, -13, 81
PSV, 114, -38, 76
PEV, 81, -16, 65
VERT'LIBÉRAUX, 39, -21, 18
La Terre au Centre, 63, -46, 17
Les Vert·e·s, 31, -17, 14
PPVD, 22, -8, 14
PLR.Énergie libérale, 17, -6, 11
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 7, -2, 5
Les Jeunes du Centre, 10, -6, 4
JSV, 3, -2, 1
JLRV, 15, -15, 0
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 6, -7, -1
JVVD, 1, -2, -1
POP, 14, -16, -2
EàG, 1, -6, -5
UDC Liberté et Mobilité, 137, -143, -6
Les Libres, 25, -35, -10
Total, 3695, -928, 2767
