Liste-Bilan-PLR, gagnés, perdus, bilan
UDC, 15056, -10280, 4776
PSV, 7108, -6153, 955
PEV, 548, -217, 331
Le Centre, 2006, -1828, 178
UDF, 295, -125, 170
PPVD, 123, -100, 23
EàG, 45, -93, -48
POP, 65, -117, -52
JSV, 40, -105, -65
JVVD, 79, -177, -98
Les Jeunes du Centre, 82, -253, -171
Les Vert·e·s, 1836, -2124, -288
VERT'LIBÉRAUX, 3232, -3557, -325
Jeunes UDC, 92, -515, -423
Les Libres, 406, -831, -425
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 183, -697, -514
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 778, -1449, -671
La Terre au Centre, 683, -1771, -1088
UDC Liberté et Mobilité, 920, -2360, -1440
JLRV, 385, -2624, -2239
PLR.Énergie libérale, 801, -5254, -4453
Total, 34763, -40630, -5867
