Liste-Bilan-UDF, gagnés, perdus, bilan
UDC, 426, -424, 2
JSV, 3, -2, 1
POP, 4, -5, -1
Les Jeunes du Centre, 3, -7, -4
PPVD, 9, -14, -5
JVVD, 0, -5, -5
EàG, 2, -8, -6
VERT'LIBÉRAUX-ENGAGÉS POUR DEMAIN, 4, -11, -7
PLR.Énergie libérale, 4, -13, -9
VERT'LIBÉRAUX-JEUNES VERT'LIBÉRAUX, 0, -9, -9
JLRV, 0, -9, -9
VERT'LIBÉRAUX, 22, -33, -11
Le Centre, 30, -45, -15
Les Vert·e·s, 42, -63, -21
Les Libres, 12, -60, -48
PSV, 108, -186, -78
UDC Liberté et Mobilité, 13, -95, -82
La Terre au Centre, 8, -113, -105
PEV, 277, -392, -115
PLR, 125, -295, -170
Jeunes UDC, 54, -240, -186
Total, 1146, -2029, -883
